Id,MSSubClass,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,TotalBsmtSF,GrLivArea,FullBath,BedroomAbvGr,TotRmsAbvGrd,GarageCars,GarageArea,Neighborhood,BldgType,SalePrice
294,30,16290,5,4,1937,1973,3408,2229,2,1,2,3,322,Sawyer,1Fam,478268
295,120,150612,10,4,1890,1965,1688,3624,1,2,9,3,8,Crawfor,1Fam,359343
296,30,8446,7,1,1895,1990,3109,3042,0,0,12,3,937,NWAmes,TwnhsE,258396
297,50,23412,3,2,1922,1977,387,5556,3,4,3,0,77,CollgCr,1Fam,359156
298,30,62184,8,3,1979,1963,1644,3254,3,0,8,0,1193,Veenker,1Fam,396497
299,70,66536,6,4,1885,1989,4323,3002,0,1,11,2,830,Crawfor,1Fam,126856
300,20,2059,3,9,1888,1969,4753,2809,1,5,12,2,1080,BrkSide,1Fam,510265
301,40,5011,10,8,1949,1985,1661,2327,1,7,9,3,704,Sawyer,TwnhsE,641319
302,50,170152,10,2,1940,1971,1577,2669,3,4,13,2,1375,NWAmes,1Fam,266682
303,80,98568,6,3,2004,2003,1824,2778,3,7,13,3,383,NoRidge,Duplex,316129
304,60,44050,1,1,1975,2001,1706,4387,1,6,12,1,791,NoRidge,1Fam,101799
305,30,93174,5,1,1962,1978,6070,577,1,6,10,0,9,Crawfor,1Fam,453871
306,60,149550,6,4,1918,1992,3978,2993,1,7,13,0,1181,NoRidge,TwnhsE,342815
307,60,158405,10,9,1958,1960,2357,3248,0,0,2,1,805,Mitchel,Duplex,652077
308,50,62946,8,2,1952,2009,2822,4331,1,1,3,0,249,NWAmes,1Fam,688082
309,70,37053,3,7,1910,1962,3120,3870,1,3,8,2,1159,Crawfor,1Fam,591880
310,50,206546,6,4,1923,2002,3378,2626,0,4,10,1,1402,CollgCr,1Fam,186177
311,50,136405,2,5,2000,2000,2361,915,2,7,12,1,97,Somerst,1Fam,177651
312,90,211598,5,8,1946,1960,5953,2308,3,0,10,2,1199,Crawfor,TwnhsE,384657
313,40,66915,6,8,1937,1950,1773,1690,1,1,4,2,1044,Mitchel,1Fam,480290
314,50,25104,6,8,1981,1994,2610,1417,1,2,12,0,502,OldTown,1Fam,57767
315,30,83009,5,4,1908,2002,35,4162,1,5,2,1,899,BrkSide,1Fam,391875
316,80,71441,5,1,1902,1992,3003,2871,0,7,3,3,1113,Somerst,1Fam,97321
317,90,155187,8,9,2008,1953,5223,4546,2,7,10,1,679,Sawyer,1Fam,222235
318,80,154511,6,9,1982,1988,6093,1068,1,5,13,3,945,Crawfor,1Fam,293407
319,30,16607,1,8,1930,1973,2890,5566,3,6,8,1,68,OldTown,Twnhs,64321
320,60,127044,8,5,2002,2004,852,2846,1,3,3,1,1312,Sawyer,1Fam,223846
321,40,74636,7,3,1923,1998,4398,1678,3,4,2,3,1309,Crawfor,Twnhs,488412
322,90,132851,7,2,1965,1997,3913,2260,1,1,13,1,298,OldTown,1Fam,753468
323,50,85021,8,4,1876,1974,5857,4800,0,4,5,3,677,Mitchel,1Fam,596473
324,60,116278,2,4,1968,1969,3086,4102,1,2,9,2,338,BrkSide,1Fam,255535
325,60,154430,10,3,1896,1999,17,1247,3,7,5,3,566,NoRidge,1Fam,713031
326,90,64069,10,9,1905,1956,5503,5589,1,2,4,3,390,Sawyer,1Fam,351803
327,90,43923,2,6,1983,1956,4124,1028,3,3,10,3,1221,OldTown,1Fam,290523
328,120,152343,3,3,1900,1953,4889,1795,2,3,10,2,985,OldTown,1Fam,644990
329,60,203994,3,6,1938,1980,724,4204,2,7,7,3,1199,CollgCr,1Fam,322376
330,120,96292,10,7,1999,1954,2793,3145,3,7,8,0,1124,CollgCr,1Fam,566898
331,120,214766,10,5,2003,1984,2798,2700,2,3,7,1,1031,NWAmes,1Fam,152280
332,70,40856,3,9,1933,1960,1635,5250,2,7,9,1,236,Mitchel,1Fam,274226
333,80,176501,7,9,1883,2003,5173,4548,0,6,11,0,1176,NoRidge,1Fam,743921
334,160,212721,3,4,1911,1975,1148,5441,2,6,10,3,1110,BrkSide,1Fam,210534
335,120,65421,1,5,1957,1955,436,1833,2,7,5,3,176,Mitchel,1Fam,646687
336,40,32933,3,2,1918,1991,1431,4849,0,2,4,2,124,Mitchel,2fmCon,370781
337,90,143330,1,8,1971,1970,6046,1465,2,4,10,2,1078,NoRidge,1Fam,724470
338,60,187302,9,9,2008,1965,693,4611,2,2,9,2,553,Sawyer,1Fam,334451
339,30,19089,8,6,1957,1989,3548,3247,1,2,6,1,465,NoRidge,2fmCon,391599
340,50,138379,2,2,1958,2007,1118,3507,0,3,12,2,562,Crawfor,TwnhsE,319054
341,160,187705,6,5,1945,2008,2413,946,0,0,7,3,1230,NWAmes,1Fam,185963
342,160,8149,3,8,1897,1976,3371,5000,0,1,6,1,515,CollgCr,1Fam,642515
343,90,111694,6,1,1951,2000,119,1813,0,6,8,1,524,Somerst,1Fam,447650
344,160,17770,9,6,2000,1962,1473,3508,0,1,4,0,566,Somerst,Twnhs,398629
345,70,39048,9,6,1967,2000,3585,1216,2,4,10,3,77,Crawfor,1Fam,302843
346,90,105351,9,5,1975,2006,88,5248,1,6,12,2,53,OldTown,1Fam,591060
347,30,71349,3,6,1991,1981,3023,2032,0,2,13,2,587,CollgCr,2fmCon,285397
348,40,19514,2,9,1925,1981,3688,4382,0,3,7,1,23,Sawyer,1Fam,206036
349,30,172614,2,2,1918,1983,1315,4397,2,7,5,0,1073,BrkSide,1Fam,94210
350,160,44722,2,6,2005,1954,990,3255,3,6,7,3,601,Veenker,1Fam,663709
351,80,187480,7,8,1935,2001,2996,974,3,7,3,3,710,Mitchel,1Fam,87574
352,160,39113,7,8,1973,1994,4390,1819,3,5,10,1,476,Veenker,1Fam,643305
353,60,112490,9,5,1959,2002,78,3581,1,7,7,3,1082,NWAmes,1Fam,307672
354,60,156845,1,9,1889,1956,2063,3178,2,3,3,2,606,NoRidge,1Fam,36733
355,80,104060,3,3,1915,1998,6106,3437,0,4,8,2,50,Mitchel,1Fam,701855
356,70,90536,8,4,1917,1971,2051,1657,0,5,10,0,692,Sawyer,1Fam,568376
357,50,161915,7,8,1896,1999,2029,3190,0,7,4,2,251,NWAmes,1Fam,555549
358,50,3819,5,4,1979,2009,4507,786,0,2,6,0,843,BrkSide,1Fam,429459
359,70,178059,2,4,2005,2002,2934,2904,1,6,12,0,799,NWAmes,1Fam,582578
360,20,148899,5,6,2005,2004,2390,819,0,4,10,1,672,Mitchel,1Fam,130771
361,30,164935,2,6,1898,1956,4794,3857,3,0,11,0,546,CollgCr,1Fam,203612
362,20,91363,6,9,1934,1969,188,3342,2,5,7,3,845,CollgCr,1Fam,426518
363,30,83546,10,6,1904,1967,4355,4855,2,7,7,0,964,Somerst,1Fam,563834
364,30,123659,2,2,1880,1980,2325,2786,0,3,7,3,1245,Somerst,1Fam,458613
365,20,138636,2,1,1957,2008,5429,1194,3,4,7,0,1364,Somerst,1Fam,327490
366,20,199240,8,9,1990,1991,4429,1582,0,7,3,3,117,BrkSide,Duplex,518723
367,120,184727,1,4,1882,1982,5751,4655,3,7,2,1,935,CollgCr,1Fam,77667
368,30,12829,10,2,1960,1998,786,5420,2,3,11,3,120,NWAmes,1Fam,400861
369,70,33768,8,3,1876,1960,1155,660,0,6,8,2,591,OldTown,1Fam,319205
370,20,203823,5,1,1988,1989,5518,3924,0,5,8,1,1051,NWAmes,Twnhs,393625
371,160,84339,4,2,1880,1980,2385,2893,2,5,9,0,769,Crawfor,1Fam,129415
372,40,125448,4,8,1932,1962,4983,1702,3,5,6,1,1145,Mitchel,1Fam,685392
373,90,13413,4,6,1889,1988,4196,3048,1,2,12,2,1294,CollgCr,1Fam,649648
374,80,23685,9,6,1928,2000,3053,5301,0,2,7,3,1380,Veenker,1Fam,713697
375,90,88777,8,1,1931,1999,275,1382,1,0,8,1,954,BrkSide,1Fam,639995
376,80,154768,3,7,1946,2000,451,4777,1,6,8,0,954,NWAmes,1Fam,513297
377,70,166525,2,9,1986,1998,4380,809,1,2,3,1,1138,BrkSide,1Fam,241906
378,90,192713,6,9,2009,1978,594,4159,3,5,4,0,330,NWAmes,1Fam,117098
379,120,43453,7,4,1919,1952,29,731,1,5,4,3,427,Crawfor,1Fam,475545
380,50,44482,8,6,1999,2007,1341,656,0,5,5,0,483,BrkSide,1Fam,716550
381,160,117234,4,3,1930,1977,5585,531,2,6,3,3,1055,NWAmes,1Fam,296843
382,160,118311,5,8,1888,1987,3827,4605,2,6,4,0,498,Veenker,TwnhsE,749974
383,90,9127,2,9,1954,1951,4388,3378,2,0,13,3,197,CollgCr,1Fam,145958
384,160,96970,5,3,1971,2003,3984,3998,2,6,6,1,1132,OldTown,1Fam,238910
385,30,193347,7,5,1913,2003,3455,1159,1,1,11,0,1063,OldTown,1Fam,502538
386,70,36364,4,3,1953,2005,1566,5225,1,5,6,2,842,CollgCr,1Fam,389728
387,80,176735,4,6,1931,1960,2620,4626,0,5,11,2,1250,Mitchel,1Fam,582252
388,160,96984,5,3,1892,2000,3328,2927,0,0,11,3,1122,Sawyer,2fmCon,283252
389,30,113494,9,7,1925,1987,6036,5105,2,2,12,0,1276,OldTown,1Fam,592777
390,120,138568,7,9,1930,1958,5494,1093,1,7,5,2,368,BrkSide,TwnhsE,251726
391,20,152299,10,8,1919,1984,4500,1886,2,1,3,2,165,NoRidge,1Fam,142353
392,50,137688,1,2,1998,1978,4969,591,3,1,5,1,484,Veenker,Twnhs,444457
393,80,23532,9,2,1925,1987,4932,1206,2,0,10,3,1176,NoRidge,1Fam,404007
394,40,64485,1,8,1958,1955,4079,4800,0,1,9,1,1311,NWAmes,1Fam,443241
395,120,182128,4,1,1873,1983,5043,2508,0,5,10,1,155,BrkSide,1Fam,52109
396,160,9889,5,4,1915,1990,447,3759,0,6,13,2,1213,NWAmes,1Fam,330967
397,30,154326,3,9,1994,1992,133,5013,1,4,4,3,678,CollgCr,1Fam,99831
398,40,112653,10,5,1995,1996,2714,4389,0,2,7,3,1159,Somerst,1Fam,614458
399,20,26966,9,1,2006,1987,334,2456,3,6,7,2,967,Veenker,1Fam,93264
400,90,27565,6,9,1879,1992,2073,2182,1,2,3,0,85,NWAmes,1Fam,705810
401,120,211113,5,7,1991,1955,1212,909,2,2,9,1,686,Mitchel,Duplex,76083
402,80,7941,8,3,1908,1997,5851,4737,0,4,2,0,126,Somerst,1Fam,474598
403,30,6120,8,6,1872,1972,4003,5560,0,1,12,0,481,Somerst,1Fam,275247
404,30,4875,5,6,1884,1982,256,2988,0,2,3,3,1074,NWAmes,1Fam,114617
405,20,135766,9,5,1975,1982,3812,2986,1,6,3,3,969,CollgCr,1Fam,292465
406,60,199497,2,9,1953,2008,4475,4837,1,4,4,0,999,Sawyer,1Fam,63678
407,90,38046,3,8,1951,1969,1986,2151,1,7,12,1,937,Somerst,TwnhsE,537436
408,30,171546,1,3,1993,1973,5393,2491,3,6,12,1,20,Somerst,1Fam,662041
409,120,155181,2,9,1884,1995,5945,5077,2,2,13,0,826,NoRidge,1Fam,272446
410,40,50459,2,9,1883,1988,5991,2347,2,6,11,1,687,Veenker,TwnhsE,351059
411,70,16363,7,1,2000,1969,568,5256,0,6,13,0,749,NWAmes,1Fam,135999
412,80,105686,9,3,1955,1970,2743,1190,1,5,7,2,301,NoRidge,Duplex,382090
413,70,18651,6,6,1979,1999,4745,2971,2,6,2,3,1000,Sawyer,1Fam,716745
414,60,25597,5,8,1944,2000,2705,2933,2,4,7,1,861,NWAmes,1Fam,422502
415,50,101060,3,7,1892,1958,2938,1962,3,7,4,0,571,Mitchel,1Fam,665330
416,60,175806,2,6,1944,1973,2006,5445,1,1,4,1,80,CollgCr,1Fam,596660
417,40,213963,6,3,2005,1996,2559,2895,1,3,10,3,97,Somerst,2fmCon,124354
418,40,135623,2,1,1888,1957,4243,4999,3,2,4,0,509,BrkSide,1Fam,72986
419,90,60459,8,9,1889,1961,156,1497,1,0,5,2,762,Mitchel,1Fam,296136
420,120,71537,5,5,1919,1959,4884,2186,2,4,6,0,1413,NWAmes,1Fam,711813
421,120,132347,4,5,1934,1981,4446,2872,0,0,2,1,1025,Veenker,1Fam,155937
422,50,38358,1,9,1958,1977,847,3327,0,1,10,1,688,Mitchel,TwnhsE,66925
423,50,112251,3,2,1893,1969,4714,1551,0,6,11,1,424,OldTown,1Fam,725556
424,20,165805,1,3,2000,1958,3185,1995,1,1,8,0,239,Mitchel,1Fam,177421
425,40,181467,8,8,1892,1988,1948,3636,3,6,2,3,199,BrkSide,1Fam,291239
426,70,13951,5,3,1899,1998,2782,1812,0,0,11,2,101,Mitchel,Duplex,596720
427,40,63042,8,9,2005,1962,3158,4367,3,3,7,1,1292,BrkSide,1Fam,105554
428,90,55814,6,8,1923,1989,1286,2866,3,0,5,1,22,NWAmes,1Fam,158067
429,20,120027,10,1,1950,1997,3705,5479,0,0,13,0,1224,Sawyer,1Fam,558300
430,60,40946,8,5,1932,1983,3844,1595,0,6,12,2,827,Somerst,1Fam,39671
431,40,204681,2,7,1907,1984,2246,4806,3,0,7,0,876,Mitchel,1Fam,547407
432,60,197507,2,5,1941,1960,2813,2935,2,7,7,1,1359,NoRidge,1Fam,425493
433,20,72455,9,2,1979,2007,3761,791,0,4,12,3,1115,NWAmes,1Fam,208468
434,60,88396,3,1,1873,2007,3076,4076,3,3,4,2,208,Sawyer,1Fam,476724
435,90,95308,8,1,1992,1992,2652,1456,2,7,6,2,1373,Veenker,1Fam,266384
436,120,10420,7,2,1897,2004,5842,1069,2,3,8,1,249,Sawyer,1Fam,718232
437,40,191457,8,3,1998,1986,5365,3156,2,3,6,2,807,Sawyer,Duplex,333755
438,60,168042,3,3,2004,1989,2319,4505,0,3,5,0,908,OldTown,1Fam,573800
439,80,72436,4,8,2000,1999,4390,1701,1,5,3,0,346,Somerst,1Fam,227670
440,60,118421,6,5,1961,1952,4950,3641,0,6,5,3,893,BrkSide,Duplex,635021
441,70,82743,1,2,1996,1963,675,410,2,4,6,1,905,Crawfor,1Fam,242928
442,50,50119,4,1,1990,1962,3615,1313,3,2,12,2,1389,NWAmes,1Fam,400675
443,120,66364,6,2,1960,1987,4885,4340,2,7,6,3,1296,BrkSide,1Fam,612125
444,80,24211,3,3,1995,1964,350,402,2,4,3,3,566,BrkSide,1Fam,701793
445,160,174495,3,7,1919,1973,2062,2233,0,6,12,0,978,Somerst,TwnhsE,576307
446,90,141387,10,1,1987,1979,4874,3029,2,3,6,2,1164,NoRidge,1Fam,515560
447,50,200351,3,4,1999,1994,5716,684,3,1,13,3,37,Sawyer,1Fam,533662
448,50,2704,10,5,1959,1981,6063,5528,0,7,3,0,971,NWAmes,TwnhsE,327420
449,20,136320,10,2,1888,1951,3686,3034,0,5,2,3,1300,OldTown,TwnhsE,529445
450,80,121193,7,1,1901,1991,260,2131,2,2,13,2,170,NWAmes,1Fam,448725
451,90,134722,2,3,1895,1975,168,5521,0,6,3,1,1068,BrkSide,1Fam,410707
452,50,213043,3,2,1945,1956,4956,3298,0,0,2,3,85,Mitchel,1Fam,260488
453,20,84739,10,8,1931,1989,4486,3935,3,7,9,3,569,Somerst,1Fam,287598
454,120,31473,1,9,1986,1966,1184,813,0,4,5,0,1162,BrkSide,TwnhsE,123869
455,40,3970,6,6,1911,1977,798,1176,1,4,7,2,1400,Somerst,1Fam,553764
456,70,106564,6,7,1894,2008,890,573,1,0,6,3,1031,Crawfor,1Fam,50888
457,20,38513,9,7,1956,1964,5360,3063,1,1,5,2,1023,OldTown,1Fam,118696
458,20,31489,9,8,1891,2003,4672,4773,1,5,7,2,367,NoRidge,1Fam,245846
459,120,32843,3,1,1996,1977,5794,5120,1,4,5,0,1170,Veenker,1Fam,136484
460,80,60557,6,9,1883,2005,694,3382,3,1,4,1,934,NoRidge,1Fam,574742
461,20,26092,7,5,1939,2000,4248,621,0,5,4,3,1337,CollgCr,1Fam,125823
462,30,105257,10,5,2002,1999,5643,3657,0,5,3,3,854,BrkSide,1Fam,363607
463,60,141230,6,8,1948,1962,3255,3719,1,2,8,1,56,Sawyer,1Fam,562530
464,80,63199,2,5,1983,1997,4729,3503,3,5,8,1,724,Crawfor,Duplex,459082
465,60,30471,10,3,1930,1972,3678,4162,1,7,2,3,1098,Sawyer,1Fam,460868
466,120,123767,6,1,1976,2004,42,3291,0,3,7,3,1117,OldTown,1Fam,282724
467,80,19620,2,2,1969,2009,2620,4070,2,1,10,1,547,Sawyer,1Fam,359060
468,80,159103,2,1,1942,1986,1596,2915,2,7,2,3,242,Veenker,1Fam,587154
469,40,83151,3,4,1885,2004,510,1131,1,7,5,1,1232,CollgCr,1Fam,377834
470,80,89007,8,8,2005,1981,3639,758,0,3,13,3,1167,Sawyer,TwnhsE,538855
471,120,54577,10,4,1878,1952,5675,5149,3,3,7,3,1246,Crawfor,1Fam,630825
472,20,61810,5,6,1921,2002,329,2674,3,6,2,2,950,Somerst,1Fam,211284
473,90,32506,1,2,1960,1981,2011,2044,3,0,8,1,1174,Sawyer,1Fam,122521
474,120,120682,9,6,1978,1952,4091,1890,3,2,6,1,571,NoRidge,TwnhsE,368539
475,60,32563,7,9,1945,1953,1911,608,1,4,4,0,1104,CollgCr,1Fam,310874
476,90,146899,6,3,1927,1993,711,5350,1,5,2,0,692,OldTown,1Fam,142774
477,50,56113,1,5,1928,2005,1168,775,3,5,12,3,1126,Mitchel,1Fam,582295
478,30,122272,10,9,2006,1991,150,1496,1,2,11,2,207,CollgCr,1Fam,484222
479,120,116156,1,6,1918,1976,6063,2762,3,6,10,0,420,NoRidge,1Fam,508610
480,50,136816,7,4,1989,1968,3003,2234,2,5,2,2,304,Somerst,1Fam,545536
481,90,163490,6,2,1879,1975,5759,546,3,4,12,3,576,BrkSide,1Fam,348249
482,50,121237,6,9,1962,1969,4189,2081,0,7,7,2,1154,Crawfor,1Fam,402352
483,50,183747,6,6,1965,1966,2135,4471,2,0,7,3,163,Somerst,1Fam,196448
484,80,56712,4,1,1965,1957,5758,1664,3,5,12,0,1035,Veenker,1Fam,561550
485,50,162062,6,5,1930,1984,1588,4929,0,7,7,0,1177,Crawfor,1Fam,716432
486,120,74676,4,9,1967,1963,1103,2245,2,5,4,2,951,Crawfor,1Fam,664169
487,20,135703,5,9,1933,1958,4920,404,0,4,4,2,916,Somerst,1Fam,328642
488,20,106560,7,2,1953,1966,3380,912,3,2,13,2,196,NWAmes,1Fam,70849
489,20,195481,8,4,1995,1997,2582,4633,3,2,8,3,868,Veenker,1Fam,667028
490,40,59324,2,9,1964,1984,3593,2486,0,4,8,0,321,CollgCr,1Fam,448885
491,20,112495,10,8,1973,1979,5913,5542,2,7,9,3,348,OldTown,1Fam,595015
492,50,36489,1,6,2005,1985,1711,4521,1,3,4,0,1221,Crawfor,1Fam,251677
493,20,136803,3,3,1902,1983,5506,495,3,0,7,2,872,NWAmes,1Fam,655287
494,90,9193,4,7,1953,1979,5565,1992,1,3,13,3,1408,CollgCr,1Fam,638502
495,30,89364,4,6,1962,2000,4640,4182,2,0,3,2,644,NWAmes,1Fam,47085
496,160,3417,4,5,1967,1993,960,668,0,7,13,0,507,Sawyer,1Fam,441619
497,120,71342,4,9,1890,1961,549,5637,0,4,5,2,1411,Mitchel,Twnhs,378669
498,80,104859,5,4,1976,1999,735,1216,3,1,5,3,882,Somerst,1Fam,508644
499,90,72268,8,6,1898,1960,4290,4565,1,4,2,0,1223,Crawfor,1Fam,221718
500,90,83864,9,1,1928,1954,2443,4795,3,4,9,3,63,Crawfor,1Fam,105454
501,120,33031,4,7,1970,1975,6032,3016,3,4,5,2,745,CollgCr,1Fam,232222
502,70,154190,3,5,1908,1973,38,4599,3,4,7,0,1158,Mitchel,1Fam,413240
503,80,171728,7,8,1889,1997,2280,5030,0,7,8,1,1146,Sawyer,TwnhsE,229212
504,60,98589,1,3,1965,1991,1613,4232,0,6,9,3,1013,Veenker,1Fam,369097
505,80,13145,5,9,1910,1953,5386,4091,2,2,13,1,233,Mitchel,1Fam,315244
506,50,14650,3,6,1986,1979,740,2396,3,1,8,3,775,BrkSide,1Fam,534715
507,30,145645,7,2,1995,1997,2493,1886,3,7,4,1,143,Mitchel,1Fam,330648
508,160,200038,1,2,1920,1993,5295,4939,2,5,10,1,1137,OldTown,1Fam,138915
509,80,186246,9,2,1973,1980,5934,1524,0,0,2,3,894,NoRidge,1Fam,491472
510,90,88053,3,3,1902,1986,5598,2534,2,4,12,3,274,NWAmes,1Fam,188040
511,40,107722,6,5,2000,1983,3993,3054,1,0,5,0,1030,Sawyer,1Fam,251192
512,90,36192,6,8,1905,1963,995,2407,3,0,10,3,1020,Somerst,TwnhsE,543793
513,70,16319,5,9,1993,1983,589,2313,2,1,3,1,75,OldTown,1Fam,231326
514,20,165135,5,7,1980,1990,2511,3514,0,2,6,3,126,NWAmes,1Fam,79420
515,160,92957,3,5,1915,1953,2926,2082,3,0,10,0,284,CollgCr,1Fam,294573
516,160,107603,8,6,1985,1991,3140,5582,3,6,9,2,99,Veenker,1Fam,314293
517,120,74731,6,3,1959,1964,303,1278,2,3,2,0,761,NWAmes,1Fam,529259
518,60,68298,3,3,1964,1950,4126,2398,3,4,2,2,1247,NoRidge,1Fam,545506
519,40,212151,3,5,1924,1995,2413,4820,0,6,13,3,89,Mitchel,1Fam,35023
520,20,175924,5,8,1904,1973,664,2858,1,6,8,2,871,Mitchel,1Fam,579940
521,90,149192,9,1,1968,1974,5592,4076,0,6,12,1,601,OldTown,1Fam,572762
522,120,84557,10,1,1879,1987,2180,3768,1,1,2,3,1185,Sawyer,1Fam,159811
523,30,155631,4,2,1920,1983,1418,2092,1,5,7,0,683,Sawyer,1Fam,278991
524,80,73875,4,2,1891,1987,3008,4283,1,7,8,2,948,CollgCr,1Fam,587100
525,20,111658,2,2,1872,2006,5807,1595,1,0,13,3,1307,OldTown,1Fam,449850
526,90,32327,6,2,1873,1989,5038,4313,2,6,10,1,193,OldTown,1Fam,279423
527,20,153075,3,1,1884,1952,610,1014,0,6,9,0,447,BrkSide,1Fam,583272
528,160,14241,9,4,2001,1963,4195,4018,1,6,5,1,382,Mitchel,1Fam,489724
529,30,155890,6,7,1978,1976,4061,931,3,3,13,1,239,Somerst,1Fam,402752
530,60,130455,3,2,2008,1978,5413,4945,2,1,5,3,918,Mitchel,1Fam,39294
531,80,15497,10,3,1883,1971,5900,3654,0,5,5,3,10,NoRidge,1Fam,500913
532,120,109577,9,9,2009,1961,4557,548,1,4,10,1,547,Crawfor,1Fam,164498
533,50,48925,4,2,1954,1956,3996,911,3,5,13,3,172,NWAmes,TwnhsE,697349
534,160,103166,2,9,1981,1958,2160,1328,0,2,12,0,872,CollgCr,1Fam,170974
535,20,4074,3,5,1990,2007,5492,5430,3,1,4,0,1064,OldTown,1Fam,56406
536,60,155728,4,7,1908,1973,5762,3462,1,7,11,2,662,BrkSide,1Fam,305823
537,160,110370,5,3,1974,2007,6055,1815,2,4,6,2,630,Crawfor,1Fam,286595
538,40,78808,9,3,1961,1970,5832,1803,1,6,4,3,637,Crawfor,1Fam,288568
539,70,188672,10,4,1929,1968,3921,470,2,7,13,2,281,Somerst,1Fam,702327
540,60,139280,8,2,1939,1979,5842,1412,3,3,13,0,532,BrkSide,1Fam,232584
541,50,131711,9,3,1900,2006,4779,4874,0,2,6,2,1323,Veenker,1Fam,637933
542,90,32776,2,9,1897,1983,1467,3512,1,7,2,1,58,Mitchel,1Fam,152071
543,70,108316,2,1,1999,1952,195,2285,2,5,4,1,1116,Crawfor,1Fam,479077
544,90,151193,10,6,1972,1966,5991,446,1,5,8,1,233,BrkSide,1Fam,129110
545,70,199405,7,7,1950,2008,2610,2154,1,7,2,3,162,BrkSide,TwnhsE,200021
546,160,130576,3,2,1967,1959,5336,2366,3,1,4,0,404,CollgCr,1Fam,141523
547,60,38145,8,1,1927,2000,1761,963,0,2,3,2,381,Veenker,1Fam,272916
548,90,146347,2,5,1906,2005,2203,3557,0,0,13,0,448,Veenker,1Fam,366022
549,80,17261,8,2,2002,1962,5035,3839,2,3,6,2,1204,BrkSide,1Fam,652714
550,120,68250,9,9,2008,1983,3210,5632,0,3,6,0,1282,Sawyer,1Fam,579524
551,120,197552,5,2,1901,1985,4140,2238,0,3,7,3,981,NoRidge,1Fam,537725
552,40,172839,7,2,1982,1997,1956,1798,3,1,2,3,207,Veenker,1Fam,386953
553,50,194445,8,3,1933,1997,3754,4702,1,6,8,3,1340,NWAmes,1Fam,240596
554,50,76700,9,3,1969,1953,2975,2193,0,3,12,1,1201,BrkSide,1Fam,248501
555,60,147418,6,2,1886,1969,5691,3681,2,3,11,3,108,Sawyer,1Fam,130129
556,60,151067,3,6,1938,2006,3006,4248,1,6,5,0,549,Mitchel,1Fam,513519
557,20,53926,3,4,1889,1971,542,5004,1,3,2,1,1099,OldTown,1Fam,597132
558,120,202966,4,5,1984,1964,4500,2025,1,7,11,0,126,Sawyer,TwnhsE,429400
559,120,208776,1,3,1927,1987,5827,3638,0,1,12,0,108,BrkSide,1Fam,449839
560,80,24908,7,1,1908,1961,5394,1029,3,6,13,1,859,Mitchel,Duplex,303065
561,50,165042,4,1,1968,1958,615,4470,0,7,8,2,477,Crawfor,1Fam,728671
562,120,97081,8,1,2003,1997,6101,572,1,6,7,3,626,NoRidge,1Fam,674051
563,40,145476,1,8,1918,1957,2120,4031,1,7,11,0,1064,NoRidge,1Fam,327614
564,50,119912,4,3,1971,2003,5095,1443,2,5,10,1,772,Sawyer,1Fam,578610
565,160,48990,4,3,1967,1964,3850,2789,2,4,11,2,1008,OldTown,1Fam,286234
566,160,21830,1,6,1939,1956,5945,739,1,6,5,0,178,BrkSide,1Fam,124036
567,70,111072,9,1,1983,1994,2086,3989,2,7,12,2,3,OldTown,1Fam,244273
568,30,180418,6,6,1889,1960,3713,2893,0,4,2,2,356,Mitchel,1Fam,635837
569,30,177286,9,5,1993,1971,4170,3856,0,5,3,2,286,OldTown,1Fam,381901
570,160,60087,9,8,1927,1971,943,2178,3,0,9,0,459,NWAmes,1Fam,658054
571,40,185348,1,2,1878,1980,4737,369,2,7,8,0,1104,OldTown,1Fam,267297
572,80,77451,9,1,2008,1978,876,3417,2,6,8,3,215,NoRidge,1Fam,366122
573,50,121415,1,7,1978,1961,5062,4042,3,1,12,3,178,Crawfor,TwnhsE,87604
574,60,70698,9,4,1984,1964,771,3862,3,2,12,1,284,Veenker,TwnhsE,597249
575,160,113149,7,1,1892,1961,1095,1725,2,1,10,2,462,Crawfor,1Fam,259664
576,70,114561,9,6,1975,1953,3023,4137,3,2,3,2,279,Sawyer,1Fam,100494
577,60,150565,5,5,1968,1989,1112,3209,2,7,3,2,260,Sawyer,1Fam,192519
578,60,102253,2,9,1996,1978,468,1449,0,3,3,2,821,Veenker,1Fam,514120
579,40,114316,2,9,1923,1956,319,924,2,3,9,2,158,Somerst,1Fam,622058
580,70,140652,2,5,1999,1969,1749,2060,3,6,10,0,218,Sawyer,1Fam,722468
581,70,90660,9,2,1969,1990,2999,456,3,2,11,0,1186,OldTown,1Fam,204550
582,20,113492,6,7,1907,1967,269,4135,2,7,3,3,25,NWAmes,1Fam,460101
583,60,19574,3,2,1901,1974,840,414,3,6,5,2,86,Somerst,Duplex,365333
584,80,187394,2,8,1996,1994,3737,591,0,2,6,0,98,NoRidge,1Fam,550038
585,20,28267,1,6,1961,1990,1946,1173,0,5,9,0,760,Sawyer,1Fam,519338
586,160,188064,3,4,1888,1992,4630,2064,1,3,2,0,985,CollgCr,1Fam,85458
587,120,163957,8,9,1889,1972,5135,439,0,2,12,2,982,BrkSide,1Fam,142358
588,80,204047,9,5,1986,1979,185,3677,3,7,2,2,978,BrkSide,Duplex,459805
