dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
2011-10-11,1,0,3,0,6,0,3,0.7687,0.6587,0.1777,0.6026,3157,3318,7720
2011-10-12,1,0,4,0,0,1,1,0.7152,0.789,0.0214,0.1415,512,246,4502
2011-10-13,2,1,6,0,0,0,2,0.2374,0.3034,0.3624,0.3398,1780,2214,8612
2011-10-14,1,1,10,0,4,0,3,0.8345,0.1323,0.0584,0.7135,1971,1607,2850
2011-10-15,2,0,4,0,1,1,2,0.4019,0.7433,0.1671,0.7999,2388,4914,4849
2011-10-16,4,1,3,0,3,0,2,0.6316,0.1536,0.739,0.2757,3169,1383,6507
2011-10-17,1,1,2,0,0,0,1,0.6842,0.8342,0.4047,0.1467,1173,5601,4413
2011-10-18,3,1,3,0,0,0,1,0.5249,0.943,0.0069,0.0199,397,2101,7437
2011-10-19,2,0,6,0,3,1,1,0.1823,0.2829,0.6438,0.1083,1362,5909,924
2011-10-20,3,0,5,0,4,1,2,0.7035,0.761,0.7071,0.7103,535,2516,3864
2011-10-21,3,0,5,0,6,0,1,0.2623,0.4373,0.902,0.3873,2482,5232,7235
2011-10-22,3,0,4,0,3,1,1,0.2801,0.299,0.1546,0.2479,1933,4651,1605
2011-10-23,2,0,6,0,4,0,1,0.1443,0.4311,0.8572,0.6593,2583,6873,3368
2011-10-24,4,1,8,0,6,1,3,0.6275,0.6468,0.7087,0.6744,1160,3660,8664
2011-10-25,2,0,1,0,3,0,3,0.1351,0.9881,0.5636,0.3078,3255,2463,5354
2011-10-26,1,1,11,0,1,0,1,0.3583,0.3,0.2618,0.7662,3054,4520,3142
2011-10-27,1,1,4,0,5,1,3,0.8917,0.7059,0.4578,0.3936,3122,226,3178
2011-10-28,1,0,2,0,0,1,2,0.464,0.3349,0.1983,0.222,2431,6750,1808
2011-10-29,2,0,3,0,1,1,1,0.8966,0.2514,0.7177,0.7648,639,4716,6408
2011-10-30,4,0,7,0,0,1,1,0.5029,0.6318,0.7036,0.13,503,359,919
2011-10-31,1,0,7,0,4,0,3,0.1953,0.7613,0.1915,0.8466,3263,1214,1830
2011-11-01,1,0,2,0,1,1,1,0.7637,0.7174,0.2526,0.5213,2969,119,1098
2011-11-02,3,0,6,0,2,0,1,0.3664,0.9426,0.9011,0.778,3003,4640,6574
2011-11-03,3,1,3,1,4,0,3,0.9671,0.1074,0.4717,0.152,2190,4629,8218
2011-11-04,3,0,11,0,2,1,2,0.2769,0.5407,0.5511,0.3307,2921,1148,779
2011-11-05,1,0,4,0,2,1,2,0.8257,0.2908,0.9586,0.7423,1684,3803,8250
2011-11-06,1,0,12,0,3,1,2,0.504,0.817,0.207,0.7115,554,3411,7986
2011-11-07,2,1,7,0,0,1,2,0.8453,0.062,0.6271,0.7411,876,3363,4436
2011-11-08,3,1,12,0,6,1,1,0.1994,0.1758,0.774,0.2384,2904,4300,343
2011-11-09,3,0,7,0,6,1,2,0.641,0.772,0.3194,0.525,2216,5930,6038
2011-11-10,4,1,2,0,4,1,1,0.1309,0.3546,0.3088,0.3312,3401,6353,4582
2011-11-11,3,1,8,0,0,0,1,0.8094,0.6818,0.8968,0.2727,3064,1120,7259
2011-11-12,2,0,6,0,3,0,3,0.2509,0.9985,0.0994,0.4421,2589,6558,2585
2011-11-13,3,0,10,0,2,0,1,0.439,0.4598,0.1574,0.6078,133,3992,4867
2011-11-14,2,0,5,0,1,0,1,0.6629,0.533,0.411,0.4407,632,1274,7773
2011-11-15,1,0,3,0,6,0,1,0.4887,0.9753,0.7984,0.1959,1280,6474,5819
2011-11-16,3,1,2,0,2,1,3,0.7833,0.7464,0.455,0.6864,123,2581,5639
2011-11-17,2,0,9,0,4,0,3,0.6944,0.1968,0.2706,0.8311,3190,3107,8426
2011-11-18,2,0,3,0,4,0,1,0.1478,0.8043,0.4203,0.3084,779,6718,4277
2011-11-19,3,0,9,0,2,1,1,0.778,0.5159,0.4455,0.7219,1306,4036,1521
2011-11-20,1,0,2,0,2,0,2,0.435,0.7874,0.727,0.7343,2300,1010,8507
2011-11-21,1,1,1,0,6,1,2,0.6058,0.5986,0.8688,0.2214,124,504,1228
2011-11-22,2,0,9,0,5,0,1,0.2322,0.2273,0.3213,0.5995,2170,5702,4812
2011-11-23,3,0,5,0,3,1,1,0.4346,0.8144,0.7085,0.7977,347,2438,6567
2011-11-24,4,1,7,0,3,1,2,0.8208,0.002,0.7014,0.6289,3077,710,6863
2011-11-25,3,0,1,0,0,0,1,0.9277,0.888,0.7669,0.0255,2356,306,6135
2011-11-26,2,0,3,0,1,0,2,0.9399,0.8186,0.5753,0.5138,1146,6568,3719
2011-11-27,2,1,2,0,0,0,1,0.7061,0.9701,0.0147,0.6617,2388,3984,1638
2011-11-28,2,0,4,0,5,1,2,0.0973,0.0355,0.6559,0.5254,1072,3649,354
2011-11-29,2,0,4,0,6,1,2,0.4538,0.4376,0.6123,0.0244,394,4109,2650
2011-11-30,3,0,5,0,1,1,2,0.2092,0.1691,0.6115,0.1021,34,2920,8470
2011-12-01,4,0,3,0,1,1,2,0.7037,0.374,0.2813,0.6814,749,6605,5978
2011-12-02,3,0,6,0,2,1,1,0.1781,0.3598,0.0979,0.4148,2414,4189,3559
2011-12-03,2,0,11,0,5,1,1,0.978,0.5976,0.1894,0.8143,1923,4441,4319
2011-12-04,2,1,2,0,2,0,2,0.2106,0.4374,0.2162,0.3527,932,6208,2926
2011-12-05,1,0,11,0,0,1,2,0.0717,0.9656,0.1736,0.6985,2341,40,7788
2011-12-06,4,0,5,0,4,0,3,0.8467,0.2778,0.2445,0.0302,1325,2229,3963
2011-12-07,4,1,7,0,1,1,1,0.2182,0.4188,0.0687,0.7149,536,5790,7298
2011-12-08,1,0,9,0,4,0,2,0.0435,0.7007,0.2693,0.7302,2316,686,465
2011-12-09,1,0,9,0,5,1,1,0.5571,0.2765,0.9979,0.3078,1557,2303,4256
2011-12-10,1,0,12,0,0,0,1,0.9698,0.7238,0.5114,0.263,2266,1152,5263
2011-12-11,4,1,12,0,6,1,1,0.2821,0.7087,0.3444,0.7734,1917,4967,5818
2011-12-12,1,1,2,0,4,0,3,0.4205,0.7122,0.7205,0.661,347,5864,228
2011-12-13,1,0,5,0,0,0,2,0.2524,0.6751,0.4695,0.5083,171,1848,5614
2011-12-14,2,0,7,0,1,1,2,0.5668,0.8175,0.0295,0.3709,345,4781,7317
2011-12-15,2,0,7,0,1,0,2,0.3363,0.9949,0.5474,0.7753,764,5285,822
2011-12-16,2,0,12,0,6,0,1,0.5995,0.0553,0.3041,0.6351,765,6291,2896
2011-12-17,3,1,8,0,5,1,1,0.4885,0.4971,0.5712,0.3543,3133,6443,3721
2011-12-18,1,1,5,0,2,1,1,0.9303,0.8131,0.1732,0.4222,2670,3175,2233
2011-12-19,1,1,12,0,3,0,1,0.6766,0.0,0.4825,0.0837,3000,569,3845
2011-12-20,1,0,9,0,2,0,1,0.6889,0.5452,0.1936,0.6891,1618,5175,7784
2011-12-21,3,1,10,0,2,0,1,0.4967,0.6598,0.2988,0.7154,1101,3790,7821
2011-12-22,3,1,8,0,4,1,2,0.3171,0.1917,0.6872,0.3023,1375,3200,5247
2011-12-23,2,0,1,0,1,0,2,0.3277,0.4008,0.2277,0.2632,2960,3762,7716
2011-12-24,4,1,12,0,5,1,3,0.5139,0.7895,0.4171,0.2144,1213,4479,7107
2011-12-25,3,0,9,0,6,1,1,0.2081,0.0667,0.0731,0.1474,2157,2003,522
2011-12-26,4,1,2,0,6,0,2,0.1498,0.1349,0.6872,0.8056,494,2293,3385
2011-12-27,4,1,4,0,1,0,1,0.3849,0.8181,0.5389,0.6452,3347,2386,7368
2011-12-28,2,1,5,0,2,1,1,0.1479,0.8092,0.8138,0.3684,2188,3435,3867
2011-12-29,3,1,4,0,1,1,2,0.2461,0.5904,0.5351,0.0936,3294,4703,5338
2011-12-30,3,1,8,0,4,1,1,0.5443,0.4162,0.9942,0.1185,1006,311,3603
2011-12-31,2,0,7,0,2,1,2,0.7943,0.1057,0.2411,0.6033,2104,2046,163
2012-01-01,3,1,3,0,2,1,2,0.2403,0.8114,0.7421,0.1726,935,5063,4932
2012-01-02,2,0,9,0,0,1,1,0.7958,0.2417,0.4323,0.2957,1596,232,3339
2012-01-03,1,1,4,0,3,0,3,0.0352,0.9132,0.376,0.8135,1102,5528,6749
2012-01-04,1,1,2,0,3,0,1,0.9971,0.7758,0.7315,0.494,486,5347,7741
2012-01-05,2,1,12,0,3,1,3,0.5266,0.0809,0.9556,0.6871,1508,2229,930
2012-01-06,4,0,4,0,2,1,2,0.4864,0.6355,0.7556,0.0883,1809,4350,3135
2012-01-07,1,0,3,0,5,1,1,0.6575,0.9206,0.3301,0.2808,537,3415,3435
2012-01-08,3,1,9,0,4,1,1,0.4857,0.8792,0.5099,0.7613,1359,1754,5901
2012-01-09,1,1,10,0,1,1,1,0.4199,0.6134,0.2171,0.6889,321,1054,3465
2012-01-10,3,1,2,0,2,0,2,0.3836,0.172,0.6202,0.6149,2202,6679,4938
2012-01-11,1,1,1,0,4,0,1,0.9783,0.6802,0.4026,0.4993,1068,5972,7917
2012-01-12,2,0,11,0,0,1,2,0.8643,0.6661,0.2281,0.2286,306,6242,5149
2012-01-13,4,1,7,1,2,1,1,0.5124,0.5887,0.0211,0.4977,1751,994,877
2012-01-14,2,0,6,0,6,0,3,0.8397,0.2657,0.9253,0.0431,2847,6699,4201
2012-01-15,4,1,6,0,3,0,1,0.1661,0.9003,0.0788,0.172,3380,4355,7727
2012-01-16,1,1,8,0,3,1,2,0.5389,0.5026,0.3293,0.4405,3297,3567,4214
2012-01-17,1,1,9,0,4,0,2,0.4612,0.2971,0.1905,0.0017,593,2388,8565
2012-01-18,1,1,1,0,2,1,1,0.3384,0.2552,0.4941,0.1974,715,1648,7867
2012-01-19,1,1,4,0,5,0,1,0.9201,0.281,0.1949,0.1294,3045,2273,2316
2012-01-20,2,1,12,0,0,1,2,0.8358,0.4611,0.7362,0.2937,2158,1223,3618
2012-01-21,4,1,3,0,3,0,2,0.9089,0.2309,0.2248,0.7296,1853,5491,1630
2012-01-22,1,1,11,0,4,1,2,0.6425,0.5174,0.1855,0.8053,2735,6589,1685
2012-01-23,2,0,5,0,1,0,1,0.3887,0.192,0.2169,0.1403,222,6718,3218
2012-01-24,1,0,3,0,5,0,3,0.7617,0.271,0.2976,0.1964,1891,6189,3670
2012-01-25,3,1,8,0,0,1,3,0.1264,0.1197,0.6418,0.7198,1952,936,3067
2012-01-26,3,0,8,0,4,1,2,0.856,0.3574,0.2096,0.1468,3189,5151,6392
2012-01-27,1,0,5,0,4,1,1,0.0482,0.406,0.6969,0.6301,1594,5961,1342
2012-01-28,2,1,10,0,5,1,1,0.8218,0.4037,0.4302,0.0727,1746,3555,4152
2012-01-29,1,0,1,0,1,0,4,0.7099,0.7249,0.197,0.5511,2730,3884,7746
2012-01-30,2,0,2,0,1,0,2,0.1067,0.4834,0.24,0.2258,924,2682,6385
2012-01-31,2,0,8,0,4,1,2,0.1641,0.693,0.5273,0.6371,240,5716,1798
2012-02-01,4,1,7,0,6,1,3,0.4633,0.0331,0.3786,0.4415,1609,4892,2106
2012-02-02,1,1,9,0,5,1,1,0.3139,0.4366,0.5137,0.1521,2082,4377,8071
2012-02-03,3,0,11,0,1,1,2,0.8699,0.0898,0.8126,0.3419,1664,85,5087
2012-02-04,4,1,12,0,2,0,2,0.209,0.4621,0.0458,0.4372,2409,6672,7668
2012-02-05,1,0,7,0,1,0,3,0.4287,0.6152,0.3936,0.8466,866,3651,7534
2012-02-06,4,1,7,0,5,0,2,0.2753,0.7967,0.4154,0.4083,50,6641,3859
2012-02-07,4,0,12,1,3,1,2,0.1446,0.5502,0.2509,0.1286,2683,4720,4622
2012-02-08,2,0,12,0,3,1,1,0.2745,0.3795,0.4419,0.4719,2901,3627,3223
2012-02-09,2,1,1,0,0,0,3,0.8628,0.2645,0.5666,0.1872,2107,5240,5557
2012-02-10,3,1,7,0,4,1,2,0.7212,0.9574,0.585,0.7476,1071,1728,5669
2012-02-11,3,1,12,0,3,0,1,0.916,0.1983,0.6698,0.709,1264,3144,5922
2012-02-12,4,1,1,0,0,1,3,0.4172,0.0424,0.0768,0.1094,1637,194,7505
2012-02-13,4,1,12,0,1,0,1,0.2556,0.1259,0.46,0.5001,1439,5180,6451
2012-02-14,2,0,9,0,5,1,1,0.0458,0.9975,0.7576,0.592,764,2264,906
2012-02-15,1,0,2,0,5,0,3,0.5053,0.9061,0.455,0.2139,1268,683,3066
2012-02-16,2,1,8,0,3,0,2,0.0589,0.3203,0.6565,0.5324,1017,5535,4976
2012-02-17,3,1,6,0,5,0,3,0.0242,0.0038,0.5904,0.3933,1528,1635,5470
2012-02-18,4,1,5,0,5,1,3,0.6126,0.7672,0.4647,0.4098,1281,1570,7534
2012-02-19,2,1,8,0,4,0,2,0.1815,0.3005,0.0789,0.4686,1801,1021,3639
2012-02-20,4,1,9,0,1,0,1,0.5686,0.0221,0.6332,0.4846,2751,4199,7164
2012-02-21,1,0,11,0,2,1,3,0.5821,0.4566,0.5345,0.6033,1129,2373,3420
2012-02-22,3,1,6,0,5,1,2,0.7294,0.4242,0.0057,0.3846,199,3972,1291
2012-02-23,2,1,2,0,2,0,2,0.3955,0.3618,0.2069,0.6142,2790,2403,4152
2012-02-24,3,0,11,0,4,1,2,0.7111,0.6534,0.0614,0.413,636,5237,1318
2012-02-25,2,1,5,0,5,1,1,0.3786,0.726,0.5702,0.5634,3165,2609,3566
2012-02-26,4,0,10,0,3,1,1,0.1158,0.5592,0.0151,0.2236,1803,5510,2128
2012-02-27,1,0,10,0,3,0,2,0.3238,0.014,0.8424,0.4604,1783,3246,246
2012-02-28,4,0,1,0,1,1,2,0.0274,0.0224,0.9475,0.3978,1395,123,5789
2012-02-29,2,0,5,0,3,0,1,0.4732,0.8817,0.9756,0.2569,2426,3042,6471
2012-03-01,3,0,2,0,0,1,1,0.7455,0.1864,0.2266,0.053,2227,1717,1168
2012-03-02,2,1,8,0,0,1,1,0.7891,0.3981,0.4951,0.4337,3173,3417,5101
2012-03-03,2,1,10,0,3,1,2,0.2475,0.1035,0.8912,0.0083,58,883,4386
2012-03-04,2,0,7,0,1,0,1,0.1235,0.2293,0.6873,0.3314,656,5232,1217
2012-03-05,2,0,4,1,2,0,2,0.2017,0.4854,0.2987,0.3151,948,4345,5309
2012-03-06,1,1,12,0,2,0,2,0.984,0.2355,0.834,0.5387,648,1003,2293
2012-03-07,2,0,2,0,3,1,1,0.3259,0.6591,0.5739,0.8393,3233,6795,7166
2012-03-08,2,1,2,0,4,1,2,0.4407,0.3673,0.73,0.7293,249,2448,5333
2012-03-09,3,0,5,0,3,1,3,0.0941,0.7885,0.9694,0.8288,415,1473,991
2012-03-10,2,0,12,0,5,0,1,0.7935,0.602,0.9975,0.8083,1508,20,4524
2012-03-11,3,0,11,0,3,0,1,0.4595,0.254,0.5048,0.063,902,1728,1036
2012-03-12,2,0,7,0,6,0,1,0.1056,0.8084,0.1566,0.2397,1130,215,6309
2012-03-13,2,1,12,0,6,1,2,0.4835,0.9321,0.6196,0.2524,2060,3365,2607
2012-03-14,3,1,11,0,2,1,3,0.719,0.12,0.6439,0.0604,1912,4220,4274
2012-03-15,3,1,8,0,5,0,2,0.4836,0.6697,0.5721,0.7197,2947,2582,6072
2012-03-16,4,0,2,0,3,0,3,0.9693,0.6308,0.422,0.761,1539,6087,7363
2012-03-17,2,0,11,0,6,0,2,0.8742,0.6697,0.5816,0.5142,3196,6710,4474
2012-03-18,1,0,8,0,5,1,1,0.5245,0.0312,0.534,0.7573,650,2138,695
2012-03-19,3,1,2,0,2,1,1,0.9417,0.0281,0.9447,0.6072,664,4436,2271
2012-03-20,2,0,11,0,2,0,2,0.8152,0.2948,0.8376,0.3745,1335,2803,5351
2012-03-21,1,1,5,0,6,0,2,0.3809,0.0802,0.3937,0.1274,400,1916,386
2012-03-22,4,1,10,0,3,0,2,0.776,0.3661,0.5709,0.8147,100,1473,3251
2012-03-23,3,0,4,0,4,1,2,0.5157,0.8724,0.5661,0.5884,1267,3632,2833
2012-03-24,3,0,1,0,4,0,1,0.5483,0.3544,0.5107,0.3011,1833,1009,2689
2012-03-25,3,0,6,0,1,1,1,0.5302,0.3928,0.0581,0.1093,948,4677,8312
2012-03-26,4,0,6,0,1,0,2,0.8076,0.2675,0.7126,0.6791,925,6143,8224
2012-03-27,3,1,11,0,6,1,2,0.9202,0.4216,0.7313,0.6817,333,2569,7820
2012-03-28,3,1,2,0,1,1,2,0.3331,0.7975,0.4842,0.4616,384,3982,7530
2012-03-29,4,1,11,0,6,0,1,0.6491,0.8309,0.9016,0.85,3012,6780,7788
2012-03-30,3,0,2,0,2,1,3,0.6358,0.4211,0.9839,0.3285,226,4901,1618
2012-03-31,3,1,12,0,5,0,1,0.8897,0.3969,0.8129,0.8008,2396,2817,3441
2012-04-01,1,1,9,0,4,1,1,0.4583,0.1951,0.9279,0.5357,2436,6127,521
2012-04-02,2,1,5,0,0,1,2,0.2064,0.9756,0.4875,0.626,694,313,6951
2012-04-03,2,0,12,0,1,0,3,0.219,0.311,0.9142,0.7795,844,4095,7560
2012-04-04,4,0,5,0,6,0,3,0.0703,0.3426,0.935,0.7065,1254,1768,273
2012-04-05,3,1,8,0,1,1,1,0.1187,0.4299,0.6236,0.2454,2247,1268,1493
2012-04-06,3,0,1,0,1,1,1,0.3152,0.0804,0.1507,0.7371,126,3600,1489
2012-04-07,3,0,2,0,1,1,2,0.1205,0.3285,0.1523,0.4588,2781,4960,8090
2012-04-08,3,0,5,0,4,1,2,0.8737,0.9306,0.4723,0.0381,1163,5132,6891
2012-04-09,4,0,3,0,5,0,2,0.3748,0.0744,0.7356,0.5727,1705,5199,2432
2012-04-10,1,1,3,0,6,1,1,0.3811,0.2405,0.5014,0.4247,3102,2019,418
2012-04-11,4,0,5,0,6,0,2,0.7624,0.2178,0.7998,0.4561,455,2887,3600
2012-04-12,4,1,8,0,6,0,1,0.3153,0.2351,0.7698,0.3498,3231,803,5101
2012-04-13,1,1,2,0,6,0,1,0.7209,0.9546,0.2036,0.0545,2096,4292,413
2012-04-14,3,0,10,0,3,0,2,0.826,0.7086,0.1328,0.1532,1456,5587,4097
2012-04-15,2,1,11,0,5,0,1,0.373,0.9198,0.7058,0.643,246,3375,4694
2012-04-16,2,0,11,0,4,0,2,0.4883,0.8576,0.3204,0.1991,232,2185,8550
2012-04-17,4,0,3,0,0,0,2,0.3358,0.6247,0.9314,0.5336,2786,2326,1662
2012-04-18,2,1,11,0,0,0,1,0.4347,0.5598,0.8685,0.4606,1371,4522,1616
2012-04-19,4,0,2,0,0,0,1,0.5891,0.5091,0.4512,0.1882,2597,4677,3768
2012-04-20,3,0,2,0,2,0,3,0.3626,0.6895,0.5805,0.2385,2841,3318,2799
2012-04-21,4,0,9,0,3,1,2,0.4749,0.7018,0.8471,0.326,1372,1733,8013
2012-04-22,3,1,10,0,4,0,3,0.5063,0.5995,0.8714,0.7482,1080,2863,6863
2012-04-23,3,0,2,0,3,0,1,0.044,0.4489,0.557,0.8001,919,2288,2217
2012-04-24,1,0,5,0,2,0,2,0.1804,0.6754,0.9719,0.3287,2171,698,2932
2012-04-25,4,0,5,0,5,0,3,0.5505,0.1567,0.521,0.0392,2420,2829,5540
2012-04-26,3,1,9,0,6,0,1,0.0226,0.5515,0.0411,0.5108,1193,5900,7597
2012-04-27,2,1,7,0,1,1,1,0.7101,0.5193,0.5627,0.3549,1935,4276,1777
2012-04-28,2,1,8,0,1,0,3,0.9074,0.5347,0.777,0.4185,1841,944,2595
2012-04-29,1,0,1,1,6,1,1,0.7595,0.5108,0.9849,0.3757,496,5922,5322
2012-04-30,2,0,12,0,6,1,1,0.3279,0.7503,0.1054,0.5564,1793,1498,7495
2012-05-01,1,1,7,0,2,0,4,0.4608,0.7575,0.4405,0.2588,2589,4278,2535
2012-05-02,4,1,9,0,3,0,1,0.6577,0.3296,0.5866,0.7587,3280,3951,4085
2012-05-03,2,0,6,0,4,0,2,0.6868,0.3508,0.8815,0.3581,1140,5048,5946
2012-05-04,3,0,3,0,4,0,2,0.9779,0.0165,0.7159,0.2904,815,5327,3718
2012-05-05,4,1,9,0,6,1,2,0.5031,0.1133,0.2312,0.7845,3048,2046,6720
2012-05-06,4,1,4,0,0,1,1,0.2645,0.2623,0.8594,0.3044,3135,5406,4498
2012-05-07,2,0,3,0,3,0,1,0.3749,0.7657,0.6642,0.0706,2828,4088,7676
2012-05-08,1,0,7,0,1,0,3,0.924,0.7979,0.8952,0.132,1145,2441,5301
2012-05-09,3,0,5,0,5,1,2,0.6401,0.248,0.8344,0.6072,941,739,8006
2012-05-10,4,0,11,0,4,1,1,0.867,0.8698,0.1293,0.478,2131,3957,7494
2012-05-11,2,1,8,0,5,1,1,0.7296,0.3757,0.9605,0.4544,871,3228,2119
2012-05-12,1,1,5,0,6,0,2,0.9661,0.7981,0.4543,0.0697,2624,3279,7821
2012-05-13,3,0,1,0,5,1,1,0.5112,0.4669,0.9826,0.1395,1358,4798,1143
2012-05-14,3,1,5,0,5,0,2,0.9509,0.7126,0.187,0.3368,1116,4929,2479
