fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,type,quality
9.6,0.69,0.66,38.2,0.073,131.0,131.0,1.0243,3.75,1.88,14.0,white,3
13.7,0.61,0.06,61.5,0.585,262.0,424.0,0.9959,3.9,1.21,13.8,white,7
6.7,1.11,0.56,5.3,0.165,155.0,141.0,0.9942,3.13,1.76,9.9,white,8
11.5,0.21,1.3,23.4,0.169,138.0,22.0,1.002,2.76,1.42,12.0,white,5
7.1,1.37,0.86,3.1,0.263,57.0,93.0,1.004,3.88,1.68,11.8,white,3
10.5,1.24,0.79,45.1,0.118,136.0,409.0,1.0036,3.81,0.6,11.4,white,5
12.3,0.66,0.15,27.8,0.507,143.0,349.0,0.996,3.75,0.41,12.2,red,5
6.3,0.78,1.53,62.4,0.084,259.0,197.0,1.0375,3.18,1.31,8.6,white,8
12.7,0.68,0.47,45.7,0.273,256.0,399.0,1.0285,2.82,1.2,11.1,white,3
12.0,1.26,0.64,39.8,0.555,141.0,113.0,1.038,3.98,0.39,9.9,red,5
7.6,0.12,0.55,60.0,0.392,251.0,107.0,0.9925,3.36,1.31,8.0,red,8
14.6,1.09,0.55,9.1,0.375,247.0,62.0,0.991,3.18,0.54,11.6,red,9
13.2,0.53,0.99,51.7,0.608,274.0,198.0,1.0149,3.72,0.41,10.5,white,7
10.1,1.25,1.04,48.2,0.023,105.0,229.0,1.019,3.59,1.97,11.0,red,3
4.8,1.56,0.99,44.5,0.202,62.0,69.0,1.0201,2.77,1.21,8.8,white,7
9.1,0.5,0.11,42.2,0.084,273.0,56.0,0.9919,3.96,0.81,11.5,white,3
7.8,0.75,1.61,8.7,0.12,169.0,175.0,1.0309,3.44,0.39,9.9,red,3
7.0,0.9,1.19,53.7,0.139,135.0,107.0,1.0125,2.96,1.85,8.0,red,7
11.6,0.91,1.47,42.0,0.386,119.0,255.0,1.0062,2.74,1.9,13.4,red,5
15.0,0.31,0.27,50.9,0.173,25.0,234.0,1.0133,3.43,0.68,12.3,white,3
5.6,0.95,1.55,57.7,0.409,60.0,77.0,0.9892,3.49,0.99,11.6,white,5
12.8,1.17,1.2,36.0,0.453,85.0,12.0,0.9983,2.85,1.37,12.3,red,5
11.3,1.5,0.83,63.0,0.251,160.0,286.0,1.0389,3.42,0.42,10.2,red,7
11.9,1.17,0.04,7.7,0.332,150.0,341.0,1.0158,3.28,1.18,8.8,red,9
14.0,0.98,0.42,0.9,0.089,157.0,218.0,0.9912,3.28,0.61,10.5,white,3
8.3,0.43,1.39,22.1,0.462,23.0,256.0,1.0023,3.98,0.62,13.4,white,7
10.8,0.23,0.63,14.7,0.261,4.0,423.0,0.9967,3.1,1.29,12.2,white,7
7.1,1.03,1.13,36.7,0.511,134.0,339.0,1.0351,3.86,0.77,13.5,white,9
7.2,1.02,1.21,18.9,0.326,57.0,151.0,1.0289,3.16,1.2,14.2,white,5
10.0,1.34,1.29,45.5,0.428,258.0,375.0,1.0155,2.95,0.69,9.7,white,4
3.9,0.75,0.63,62.2,0.225,125.0,244.0,1.0365,2.92,1.09,14.3,white,9
6.8,0.34,1.51,50.8,0.233,102.0,233.0,1.0065,3.93,1.88,12.6,white,3
5.6,0.42,0.49,28.0,0.272,158.0,306.0,1.032,2.75,1.08,11.9,white,6
5.3,0.79,1.39,64.9,0.392,182.0,192.0,1.0114,3.0,1.11,11.5,white,7
8.5,0.55,0.71,50.9,0.314,25.0,388.0,1.0311,3.16,1.1,11.2,red,3
5.1,0.35,0.39,53.5,0.493,215.0,79.0,1.0338,3.57,1.74,8.5,white,5
5.7,0.24,0.57,13.9,0.042,41.0,189.0,1.0111,3.2,1.43,8.4,red,3
11.9,0.7,1.33,45.4,0.551,112.0,34.0,0.9963,2.75,0.27,10.3,white,8
11.7,0.59,1.02,5.2,0.566,104.0,312.0,0.9971,3.39,0.43,9.4,white,4
15.2,1.53,0.23,15.9,0.156,165.0,123.0,1.0021,3.86,1.25,8.6,white,7
14.9,1.36,0.21,1.7,0.07,200.0,191.0,0.9987,3.86,1.57,8.2,white,4
14.4,0.36,1.14,46.6,0.353,232.0,391.0,1.0073,4.0,0.43,14.8,white,7
12.2,1.21,0.4,2.0,0.048,153.0,87.0,1.0134,3.16,1.11,9.5,red,8
7.0,0.8,0.35,29.9,0.147,46.0,7.0,0.9916,2.88,1.36,14.8,red,3
6.0,1.47,1.24,42.9,0.315,201.0,257.0,1.0343,2.81,0.93,11.8,white,8
15.3,0.99,0.54,20.5,0.379,139.0,196.0,0.9872,3.84,1.45,9.3,red,7
15.4,0.39,0.11,24.5,0.126,171.0,30.0,0.9943,3.69,0.83,9.0,white,3
9.9,0.37,0.71,57.2,0.571,129.0,135.0,0.9875,3.53,1.33,9.4,white,4
10.4,1.53,0.94,59.4,0.118,121.0,110.0,1.0383,3.36,1.58,10.5,white,8
3.9,1.46,1.0,56.6,0.102,203.0,119.0,1.0084,3.31,1.92,9.4,white,6
5.6,0.8,0.1,49.5,0.107,152.0,349.0,0.9973,3.36,1.36,13.7,white,3
10.4,0.93,0.75,18.7,0.569,251.0,138.0,0.9933,3.19,0.85,10.5,white,7
6.0,0.9,0.6,5.5,0.538,215.0,218.0,1.0063,3.33,1.5,11.6,white,8
9.6,1.23,0.75,32.5,0.029,138.0,121.0,1.0377,2.99,1.65,11.5,red,6
13.4,0.79,0.07,60.9,0.446,63.0,419.0,1.0156,2.87,0.96,12.6,white,3
13.5,0.26,0.49,15.2,0.053,6.0,342.0,1.0055,2.99,0.87,14.9,white,3
14.2,0.57,1.07,14.3,0.054,60.0,190.0,1.006,3.97,0.49,11.1,white,5
6.7,0.93,0.21,51.4,0.055,82.0,322.0,0.9932,4.0,1.42,10.2,white,6
9.0,0.61,1.59,39.2,0.508,35.0,143.0,1.0139,3.69,1.01,14.7,white,8
11.4,1.3,1.65,27.0,0.266,194.0,42.0,1.0091,3.8,0.46,14.9,white,7
10.8,1.5,0.6,56.8,0.344,95.0,193.0,1.0249,2.85,1.22,13.4,white,4
15.9,0.44,1.13,38.6,0.028,10.0,251.0,0.9971,2.88,1.98,13.5,white,7
7.1,1.41,1.05,60.6,0.551,127.0,158.0,0.9942,2.84,0.31,10.8,white,3
4.7,1.15,0.28,24.6,0.6,227.0,180.0,1.0173,2.8,1.14,11.7,white,4
8.5,0.96,0.64,29.6,0.151,99.0,316.0,1.0256,3.68,1.89,10.4,red,8
10.1,0.28,1.63,5.4,0.404,261.0,395.0,1.0129,2.79,1.93,12.3,red,9
8.5,0.7,0.21,24.6,0.418,247.0,394.0,1.0281,3.94,0.83,13.7,red,7
7.7,1.57,0.95,12.3,0.591,257.0,256.0,1.0308,3.56,0.53,10.6,white,6
6.9,1.05,0.99,2.7,0.3,193.0,279.0,1.0347,2.94,0.97,11.7,white,9
9.0,0.97,0.28,17.3,0.152,233.0,237.0,1.0067,3.77,0.79,13.3,white,5
12.1,0.13,0.89,32.6,0.226,113.0,167.0,1.034,3.78,1.08,9.4,white,7
5.6,0.56,1.52,16.7,0.394,201.0,326.0,1.0239,3.45,1.28,12.2,white,7
14.3,0.81,0.19,7.7,0.293,65.0,54.0,1.0195,2.84,1.59,13.4,red,3
11.6,1.04,0.31,30.0,0.057,60.0,394.0,1.0158,3.24,1.35,8.4,white,9
5.1,1.37,0.42,10.2,0.495,273.0,129.0,0.9881,3.43,1.81,9.8,white,7
4.1,0.77,1.25,6.2,0.529,159.0,101.0,1.0162,3.68,1.53,8.2,white,4
4.4,0.49,0.96,63.2,0.297,22.0,125.0,1.0275,3.11,1.14,8.0,white,8
4.9,0.5,0.84,31.6,0.324,58.0,358.0,1.0384,3.85,0.43,11.3,white,5
11.6,0.29,1.31,52.9,0.305,134.0,123.0,1.0096,3.04,1.65,12.8,white,3
15.2,0.3,1.62,11.7,0.328,245.0,271.0,1.0385,4.01,1.49,10.6,red,7
5.4,0.54,0.33,30.7,0.071,259.0,155.0,0.996,2.87,0.82,12.3,red,3
7.2,1.23,1.35,6.5,0.27,34.0,291.0,1.0368,3.79,0.63,9.3,red,7
14.3,0.7,0.61,27.4,0.279,19.0,263.0,1.0177,2.89,1.39,13.8,white,7
9.9,1.37,0.24,54.5,0.61,36.0,439.0,1.0215,3.7,0.37,10.5,white,4
9.0,1.5,0.43,58.8,0.038,194.0,141.0,1.0169,3.83,1.62,12.9,white,8
9.5,0.19,0.66,34.4,0.197,154.0,158.0,1.0381,3.12,0.62,8.9,white,6
5.0,1.15,1.49,19.3,0.308,214.0,92.0,0.9894,2.85,1.28,13.6,white,5
6.5,0.21,0.79,48.4,0.519,172.0,207.0,1.0084,4.01,0.76,11.6,red,3
15.4,0.19,1.02,42.3,0.287,29.0,369.0,1.0325,3.97,1.07,14.7,white,8
11.6,0.49,0.06,31.3,0.184,75.0,98.0,0.9958,3.7,1.65,10.8,white,4
7.3,0.23,0.11,31.6,0.331,96.0,423.0,1.0167,3.22,0.73,14.0,white,4
15.3,1.07,1.56,32.8,0.188,205.0,12.0,1.0143,2.89,0.28,10.8,red,4
8.6,1.15,1.39,22.7,0.339,173.0,355.0,1.029,3.26,0.36,8.7,white,6
5.5,1.04,0.81,34.4,0.424,274.0,306.0,1.0348,3.65,0.35,12.7,white,9
15.5,0.94,0.33,4.3,0.329,43.0,399.0,1.0005,2.92,1.04,9.3,white,8
11.9,1.25,0.07,37.8,0.376,271.0,232.0,1.0231,2.74,0.37,13.5,red,8
12.9,1.24,1.62,33.0,0.032,64.0,302.0,1.0155,3.89,0.95,10.3,white,4
4.1,1.39,0.01,28.0,0.406,100.0,27.0,1.0215,3.62,1.46,13.2,white,7
7.2,1.12,0.39,21.7,0.593,11.0,177.0,0.9975,3.62,1.79,11.3,red,5
15.2,0.61,1.14,41.1,0.305,86.0,340.0,1.0013,3.94,0.61,11.7,white,6
5.7,0.87,1.56,32.2,0.492,59.0,53.0,1.0156,3.39,1.78,13.1,white,7
14.4,0.82,0.19,7.2,0.339,64.0,346.0,0.9873,3.13,1.96,12.6,red,4
13.1,0.24,1.28,25.0,0.433,166.0,140.0,1.0243,3.89,1.33,12.6,white,5
8.4,1.3,0.55,5.6,0.196,226.0,159.0,0.9955,3.99,1.53,12.5,red,5
14.5,1.45,1.13,25.3,0.591,216.0,287.0,1.0354,2.75,1.08,12.0,white,9
15.0,1.56,0.16,35.3,0.139,240.0,40.0,1.0318,3.15,0.35,13.6,red,9
14.3,0.45,1.44,26.1,0.105,212.0,277.0,1.0195,3.19,1.93,10.1,white,9
8.7,0.22,1.17,22.9,0.036,282.0,403.0,1.0333,2.86,1.9,9.3,white,6
10.9,0.25,1.59,18.9,0.335,6.0,47.0,1.0383,3.01,0.79,13.1,red,7
7.5,1.29,0.83,25.5,0.382,286.0,116.0,1.0273,2.75,0.57,11.7,white,8
5.4,1.03,1.47,5.1,0.4,119.0,12.0,1.0196,3.62,0.34,14.2,white,8
14.7,1.21,0.9,65.4,0.113,139.0,231.0,1.0104,2.86,1.11,14.7,white,7
15.7,1.44,0.85,36.8,0.401,167.0,323.0,1.0293,3.87,1.87,14.0,white,9
4.5,0.42,0.16,42.1,0.108,3.0,408.0,1.0237,3.47,0.29,11.8,red,5
12.1,0.63,1.35,12.5,0.464,53.0,166.0,1.0116,3.18,1.31,13.2,white,7
15.3,1.27,0.68,60.8,0.175,129.0,71.0,1.0131,3.76,1.71,10.3,white,7
11.2,0.47,1.0,37.8,0.263,223.0,19.0,0.999,3.56,0.9,8.1,white,8
4.4,0.84,1.08,27.6,0.23,252.0,147.0,1.028,3.69,1.31,13.4,white,9
4.0,0.75,1.29,47.1,0.23,44.0,228.0,1.0327,3.85,1.01,13.4,red,3
9.9,0.97,0.96,20.4,0.443,77.0,397.0,0.988,3.76,0.34,8.1,white,8
15.2,1.56,1.03,61.5,0.61,176.0,100.0,0.9929,3.73,1.12,14.0,white,8
7.2,0.24,0.86,11.6,0.326,105.0,345.0,1.0385,3.66,0.38,14.1,red,9
8.0,0.81,1.02,54.9,0.25,87.0,215.0,0.9963,3.21,1.44,10.2,white,4
13.4,1.52,0.74,63.6,0.186,111.0,383.0,1.0253,3.56,0.77,8.1,red,7
13.5,0.6,1.29,32.7,0.385,203.0,381.0,1.0121,3.45,1.65,14.0,white,3
15.2,1.19,1.35,57.8,0.281,58.0,378.0,1.0142,3.96,1.26,8.5,white,3
13.9,1.47,0.86,5.3,0.474,19.0,180.0,0.9927,3.37,1.88,9.6,white,7
11.0,0.44,0.24,41.1,0.374,2.0,156.0,0.9943,3.01,1.53,11.7,white,9
15.2,0.2,0.62,23.8,0.257,153.0,96.0,1.0171,3.31,1.51,13.6,white,4
11.2,0.19,1.39,24.4,0.583,73.0,105.0,1.0067,3.25,0.76,13.4,white,8
11.1,0.19,1.52,30.0,0.016,163.0,273.0,1.0285,3.32,1.01,12.7,white,3
4.0,0.61,0.44,39.5,0.424,255.0,423.0,1.0375,3.47,1.55,13.7,white,3
9.3,0.27,1.56,40.8,0.256,86.0,269.0,1.0293,3.94,1.51,12.7,white,7
4.3,0.69,0.46,18.7,0.082,54.0,185.0,1.0082,3.08,1.45,12.4,white,4
14.7,1.21,1.53,25.6,0.065,1.0,111.0,1.0121,3.97,0.23,9.2,white,3
3.9,0.53,1.55,16.9,0.4,284.0,289.0,0.9952,3.73,0.25,11.0,white,9
7.5,0.8,0.84,41.8,0.098,150.0,98.0,1.0232,2.96,0.34,11.1,white,9
15.8,0.27,1.58,7.3,0.524,232.0,47.0,1.0103,3.08,0.28,8.1,red,3
13.4,1.13,0.91,28.2,0.196,248.0,47.0,1.0316,3.89,1.6,10.8,white,9
13.0,0.56,0.63,64.4,0.216,288.0,375.0,1.0209,3.75,1.19,9.6,white,3
12.4,0.28,1.34,65.1,0.406,249.0,172.0,0.996,2.9,1.12,8.6,white,8
4.4,1.51,0.18,34.4,0.142,86.0,414.0,1.0084,3.47,0.37,11.8,white,8
7.3,1.23,0.36,16.7,0.013,164.0,222.0,1.0222,3.08,1.6,9.6,white,5
13.5,1.06,0.35,38.6,0.277,278.0,306.0,1.0316,3.53,0.39,9.3,white,3
14.6,1.16,1.03,32.4,0.327,183.0,365.0,1.0053,2.94,0.61,13.4,white,6
8.0,0.72,1.18,3.4,0.277,222.0,386.0,1.0218,3.17,1.68,13.6,red,9
6.9,0.53,1.39,65.1,0.285,262.0,77.0,0.9961,3.22,1.45,12.6,red,3
6.7,0.83,1.49,21.9,0.41,178.0,100.0,1.0341,3.41,0.38,9.3,red,8
10.4,1.32,1.45,26.6,0.518,200.0,71.0,1.017,3.03,0.35,12.4,white,7
7.3,1.53,1.13,34.1,0.229,170.0,199.0,1.027,3.66,0.94,12.9,white,9
4.1,0.99,1.52,58.0,0.485,99.0,73.0,1.0077,3.76,1.29,9.6,white,4
8.5,0.64,0.46,52.7,0.047,73.0,288.0,1.0359,3.55,0.66,8.9,red,7
10.5,1.16,1.2,14.0,0.298,183.0,163.0,1.0245,3.88,1.26,11.0,red,6
11.5,1.13,0.13,47.3,0.235,284.0,424.0,0.9951,3.74,0.86,10.9,white,7
7.9,0.45,0.21,57.6,0.289,265.0,360.0,1.0157,2.78,1.27,9.1,red,4
7.6,0.73,0.38,47.2,0.064,61.0,320.0,1.0012,2.83,1.51,9.3,white,6
7.2,0.28,0.17,9.7,0.093,244.0,305.0,1.0304,3.57,1.72,11.4,red,9
11.3,0.68,1.6,35.7,0.186,7.0,23.0,1.0277,3.65,0.57,11.6,red,8
7.2,1.22,0.77,55.3,0.174,171.0,42.0,1.0128,3.97,0.37,11.7,white,4
14.9,0.55,1.51,13.4,0.241,269.0,194.0,1.0028,2.72,0.43,14.8,white,3
7.2,1.03,0.79,35.7,0.284,277.0,403.0,1.0314,3.03,0.51,8.3,red,5
13.4,0.57,1.16,44.3,0.142,175.0,47.0,1.0312,3.79,0.8,13.4,white,4
7.7,0.3,0.53,42.0,0.382,183.0,188.0,1.0133,3.87,0.27,10.4,white,4
11.5,1.19,1.58,7.6,0.235,113.0,351.0,1.0243,3.32,1.7,13.2,red,4
12.3,0.96,0.06,18.7,0.045,209.0,145.0,1.0019,3.34,1.73,13.1,white,6
5.9,1.32,1.16,36.6,0.156,72.0,409.0,1.0052,3.82,1.49,12.3,white,3
8.4,1.1,1.58,14.2,0.346,11.0,412.0,1.0361,3.31,0.85,12.4,red,9
5.3,1.31,1.31,22.4,0.374,242.0,31.0,1.0253,3.74,1.48,12.6,white,3
10.0,0.31,1.37,27.7,0.49,18.0,274.0,0.9908,3.94,1.24,13.2,red,4
14.8,1.0,0.5,1.5,0.157,192.0,69.0,1.0109,3.06,1.4,8.9,red,6
11.0,0.63,0.75,33.9,0.347,127.0,197.0,1.0076,3.07,0.38,10.5,white,3
12.3,1.2,0.23,65.5,0.296,13.0,396.0,0.9991,3.93,1.78,13.8,red,6
7.2,0.95,0.62,27.2,0.52,47.0,38.0,1.0387,3.27,0.84,11.8,white,3
9.5,0.16,0.01,18.5,0.448,30.0,413.0,0.9941,2.74,0.7,8.9,white,9
12.8,0.88,1.29,17.1,0.088,63.0,438.0,1.0034,3.37,0.92,14.6,white,7
5.4,1.2,1.58,34.2,0.586,184.0,297.0,1.0311,3.52,0.66,14.8,white,5
5.3,0.47,1.16,30.3,0.223,165.0,161.0,0.994,3.04,1.99,11.5,white,7
6.5,1.06,1.35,56.8,0.584,126.0,115.0,1.0066,3.66,1.37,11.7,white,6
6.7,1.34,0.85,42.3,0.181,244.0,194.0,1.02,3.02,1.82,10.0,white,8
15.4,0.18,0.32,26.6,0.291,218.0,84.0,1.0046,2.87,1.91,11.6,white,8
5.7,0.95,1.2,25.8,0.34,198.0,15.0,1.0083,3.04,1.25,14.7,red,8
5.1,1.41,0.5,36.3,0.047,173.0,33.0,1.0157,3.41,1.64,9.8,red,9
5.5,0.27,0.76,17.1,0.44,201.0,294.0,1.0365,3.82,1.83,10.1,red,3
6.3,0.48,1.5,28.2,0.072,66.0,15.0,1.0323,3.4,0.49,14.2,red,8
8.3,1.02,0.62,19.2,0.108,76.0,137.0,0.9929,3.82,0.7,10.7,white,9
6.2,0.96,0.48,34.2,0.184,87.0,300.0,1.0167,2.8,0.93,14.7,white,4
4.9,1.27,0.05,36.2,0.587,214.0,82.0,1.021,3.2,1.33,10.4,white,8
5.5,1.02,1.16,55.8,0.595,125.0,150.0,1.004,3.28,1.59,8.0,white,7
13.4,0.94,0.36,17.0,0.304,277.0,20.0,1.0008,3.75,0.83,14.6,white,7
10.1,0.76,1.06,59.6,0.33,13.0,55.0,1.0181,3.51,1.72,9.6,white,7
12.8,0.2,0.61,35.5,0.137,111.0,104.0,1.0086,3.73,1.38,12.8,white,5
5.9,0.97,1.31,48.0,0.261,46.0,61.0,1.0341,3.16,0.88,8.3,white,9
7.5,0.31,1.48,40.5,0.602,236.0,211.0,0.9956,3.92,1.43,13.2,white,8
15.7,1.57,0.39,54.7,0.485,139.0,61.0,0.9892,3.77,1.74,9.5,white,6
4.8,0.2,1.32,43.8,0.429,180.0,138.0,1.0338,3.9,0.82,13.5,red,7
9.1,0.19,0.25,1.3,0.177,173.0,320.0,1.0336,3.06,0.91,14.7,white,9
7.4,1.26,0.23,26.0,0.468,24.0,290.0,1.0087,2.73,1.45,8.3,white,5
3.9,0.23,0.71,61.8,0.591,227.0,172.0,1.0262,3.51,0.99,10.5,white,9
10.5,0.69,0.54,30.0,0.604,238.0,410.0,1.031,3.36,0.54,12.9,white,3
10.5,1.47,1.64,54.6,0.37,176.0,348.0,1.0003,3.72,1.74,14.9,red,8
7.7,1.26,1.33,57.3,0.106,82.0,270.0,1.0211,2.85,0.58,10.5,white,7
9.5,0.43,1.48,22.3,0.589,210.0,196.0,1.0254,3.49,0.66,14.9,white,7
8.5,0.46,0.23,56.5,0.335,203.0,32.0,1.0057,2.98,1.76,14.2,white,7
9.4,0.97,1.19,25.2,0.032,264.0,185.0,1.0362,3.38,1.36,13.0,white,6
14.1,0.81,1.0,2.3,0.058,35.0,243.0,1.0373,2.92,0.99,10.6,white,4
12.4,0.26,0.16,45.9,0.357,263.0,436.0,1.0124,3.9,0.9,11.7,white,4
7.2,0.32,1.32,54.1,0.512,256.0,419.0,0.991,2.96,0.55,13.0,red,9
6.7,1.28,1.42,30.0,0.576,87.0,55.0,1.0348,3.46,0.34,12.7,white,5
12.6,0.6,1.52,11.9,0.578,207.0,431.0,1.0142,2.73,1.84,10.0,red,4
6.5,1.28,1.56,40.7,0.357,77.0,334.0,0.9943,2.92,0.3,11.8,white,3
14.8,0.36,0.18,48.7,0.6,69.0,302.0,1.0251,3.36,0.33,13.8,white,5
13.9,0.98,1.46,43.3,0.099,186.0,398.0,1.0228,2.77,1.56,11.3,white,8
6.9,0.84,1.57,23.8,0.066,15.0,147.0,0.9944,3.42,1.81,11.9,white,5
13.5,0.57,1.15,24.6,0.027,29.0,179.0,1.0014,2.96,1.48,10.3,red,6
6.1,0.99,0.31,36.4,0.475,191.0,384.0,1.032,3.66,0.65,9.1,white,7
4.1,0.27,0.67,13.2,0.561,275.0,51.0,1.0374,3.84,0.7,8.5,white,7
15.4,1.36,0.15,55.8,0.515,11.0,314.0,1.0081,3.7,1.93,10.8,red,3
13.0,1.2,0.01,7.3,0.575,8.0,357.0,0.9941,2.8,1.47,12.4,white,5
